               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.018625,           0.0087474,          0.00076157,              0.9358,              0.8758,              0.9067,             0.61042,            0.029059,           0.0094226,           0.0024325,          0.00084046,          0.00084046,          0.00084046
                  85,            0.019158,           0.0083371,          0.00094129,             0.90563,             0.90975,             0.91515,             0.60806,            0.028649,           0.0091338,           0.0024744,          0.00083684,          0.00083684,          0.00083684
                  86,            0.018936,           0.0088124,          0.00080482,             0.93995,             0.86467,             0.89961,             0.60562,            0.029538,           0.0094388,           0.0023035,          0.00083319,          0.00083319,          0.00083319
                  87,            0.018383,           0.0083059,          0.00068661,             0.90969,             0.88517,             0.89747,             0.58498,            0.029823,           0.0099697,           0.0023671,          0.00082952,          0.00082952,          0.00082952
                  88,            0.018222,           0.0085724,          0.00067111,             0.92832,             0.88441,             0.90046,             0.60136,            0.029188,           0.0099543,           0.0023765,          0.00082581,          0.00082581,          0.00082581
                  89,            0.017912,           0.0086331,          0.00076943,             0.93686,             0.87109,             0.90697,             0.60465,            0.029157,           0.0097302,           0.0022276,          0.00082207,          0.00082207,          0.00082207
                  90,            0.018292,           0.0081969,          0.00069029,             0.92157,             0.88335,             0.90606,             0.60675,            0.029492,           0.0095905,           0.0026717,           0.0008183,           0.0008183,           0.0008183
                  91,             0.01827,           0.0086562,          0.00072946,             0.92938,             0.88161,             0.90894,             0.60955,            0.028707,           0.0094449,           0.0023896,           0.0008145,           0.0008145,           0.0008145
                  92,            0.018275,           0.0081697,           0.0005679,             0.92238,             0.88682,             0.91286,             0.62145,            0.028566,           0.0092787,           0.0025913,          0.00081068,          0.00081068,          0.00081068
                  93,            0.017833,           0.0085203,          0.00085936,             0.92606,             0.89745,             0.90285,             0.60196,            0.029696,            0.009631,           0.0029346,          0.00080682,          0.00080682,          0.00080682
                  94,            0.018309,           0.0083157,           0.0010137,             0.91697,             0.88517,             0.89021,             0.60242,            0.029447,            0.010003,           0.0055181,          0.00080294,          0.00080294,          0.00080294
                  95,            0.017842,           0.0083346,          0.00090881,             0.91459,             0.88615,             0.89724,             0.61243,            0.028775,           0.0098318,           0.0049254,          0.00079903,          0.00079903,          0.00079903
                  96,            0.018048,           0.0084693,            0.000708,             0.93765,             0.87736,             0.90174,             0.60417,            0.029286,             0.00964,           0.0026711,          0.00079509,          0.00079509,          0.00079509
                  97,            0.017858,           0.0082265,          0.00061484,              0.9315,             0.87881,             0.90525,             0.60092,            0.029111,           0.0096547,           0.0030394,          0.00079112,          0.00079112,          0.00079112
                  98,            0.018137,           0.0081208,          0.00074802,             0.93624,             0.87628,             0.90107,             0.61516,            0.028692,           0.0096381,           0.0024581,          0.00078713,          0.00078713,          0.00078713
                  99,            0.017718,           0.0082205,          0.00093185,             0.91934,             0.88295,             0.88934,             0.59431,            0.029396,           0.0099764,           0.0026369,          0.00078311,          0.00078311,          0.00078311
                 100,            0.017511,           0.0086343,          0.00082755,             0.92872,             0.85141,             0.89409,             0.59834,            0.029643,             0.01019,           0.0020801,          0.00077907,          0.00077907,          0.00077907
                 101,            0.017453,           0.0085088,          0.00071245,             0.92808,             0.86213,              0.8963,             0.61988,            0.029441,           0.0097983,           0.0022177,            0.000775,            0.000775,            0.000775
                 102,            0.017186,           0.0077767,          0.00055307,             0.94512,             0.87896,             0.91909,             0.61284,             0.02919,           0.0099044,           0.0018655,          0.00077091,          0.00077091,          0.00077091
                 103,            0.017381,           0.0080542,          0.00062114,             0.95893,             0.89136,             0.91856,             0.62791,            0.029608,           0.0095965,            0.001768,          0.00076679,          0.00076679,          0.00076679
                 104,            0.016982,           0.0081312,          0.00073004,             0.94726,             0.88217,              0.9017,             0.60951,            0.029859,           0.0097653,            0.001879,          0.00076265,          0.00076265,          0.00076265
                 105,            0.016769,           0.0079569,          0.00083317,             0.94662,             0.89752,             0.91044,             0.60669,            0.029428,            0.010058,           0.0020525,          0.00075848,          0.00075848,          0.00075848
                 106,            0.016918,           0.0081639,          0.00074768,             0.94943,             0.87824,             0.91108,             0.61586,            0.029265,           0.0098439,           0.0020823,           0.0007543,           0.0007543,           0.0007543
                 107,            0.016901,            0.007936,           0.0005439,              0.9531,             0.86966,             0.90635,             0.61347,            0.029597,            0.010141,           0.0023137,          0.00075009,          0.00075009,          0.00075009
                 108,            0.017017,           0.0080602,          0.00049792,             0.95364,             0.87084,             0.91678,             0.61478,            0.029598,           0.0099845,           0.0021572,          0.00074585,          0.00074585,          0.00074585
                 109,            0.016849,           0.0081625,          0.00053116,             0.92851,             0.88519,             0.89946,             0.60717,            0.030073,            0.010041,           0.0020886,           0.0007416,           0.0007416,           0.0007416
                 110,            0.016794,           0.0079312,          0.00051142,              0.9388,             0.86727,             0.90336,             0.61814,            0.030019,           0.0099373,           0.0021041,          0.00073733,          0.00073733,          0.00073733
                 111,            0.016931,           0.0083419,           0.0007899,             0.95418,             0.86186,              0.9054,              0.6157,            0.029791,           0.0095736,           0.0020085,          0.00073303,          0.00073303,          0.00073303
                 112,            0.017254,           0.0078194,          0.00054091,             0.90603,             0.89135,             0.89703,             0.61355,            0.030267,           0.0096603,           0.0018497,          0.00072872,          0.00072872,          0.00072872
                 113,            0.016478,           0.0078128,          0.00069349,             0.93371,               0.883,             0.90754,             0.60237,            0.030831,            0.009808,           0.0017279,          0.00072438,          0.00072438,          0.00072438
